noise_level,scenario,robots,seed_index,contrast,metric,direction,residual_conditioning_effect,plain_conditioning_effect,interaction_delta
low,four_way_stop,8,0,residual_conditioning_minus_plain_conditioning,progress_ratio,interaction,0.0012417640537023544,-0.0020260196179151535,0.003267783671617508
low,four_way_stop,8,0,residual_conditioning_minus_plain_conditioning,final_goal_distance,interaction,-0.011900156736373985,0.019415885210037204,-0.03131604194641119
low,four_way_stop,8,0,residual_conditioning_minus_plain_conditioning,completion_time,interaction,6.0,-4.08,10.08
low,four_way_stop,8,0,residual_conditioning_minus_plain_conditioning,min_distance,interaction,-0.005205869674682617,-0.06317675113677979,0.05797088146209717
medium,four_way_stop,8,0,residual_conditioning_minus_plain_conditioning,collision,interaction,0.0,0.0,0.0
medium,four_way_stop,8,0,residual_conditioning_minus_plain_conditioning,safety_violation,interaction,0.0,0.0,0.0
medium,four_way_stop,8,0,residual_conditioning_minus_plain_conditioning,success,interaction,0.0,1.0,-1.0
medium,four_way_stop,8,0,residual_conditioning_minus_plain_conditioning,progress_ratio,interaction,-0.00047187507152557373,0.015569396317005157,-0.01604127138853073
medium,four_way_stop,8,0,residual_conditioning_minus_plain_conditioning,final_goal_distance,interaction,0.004522100090980585,-0.14920568466186532,0.1537277847528459
medium,four_way_stop,8,0,residual_conditioning_minus_plain_conditioning,completion_time,interaction,9.0,-12.239999999999998,21.24
medium,four_way_stop,8,0,residual_conditioning_minus_plain_conditioning,min_distance,interaction,0.01453489065170288,0.12067961692810059,-0.1061447262763977
high,four_way_stop,8,0,residual_conditioning_minus_plain_conditioning,collision,interaction,0.0,0.0,0.0
high,four_way_stop,8,0,residual_conditioning_minus_plain_conditioning,safety_violation,interaction,0.0,0.0,0.0
high,four_way_stop,8,0,residual_conditioning_minus_plain_conditioning,success,interaction,0.0,1.0,-1.0
high,four_way_stop,8,0,residual_conditioning_minus_plain_conditioning,progress_ratio,interaction,0.0002486575394869961,0.009574454277753941,-0.009325796738266945
high,four_way_stop,8,0,residual_conditioning_minus_plain_conditioning,final_goal_distance,interaction,-0.00238294899463648,-0.0917545557022095,0.08937160670757302
high,four_way_stop,8,0,residual_conditioning_minus_plain_conditioning,completion_time,interaction,1.1999999999999993,-11.759999999999998,12.959999999999997
