time_s,arrival_time_s,stamp_sec,stamp_nanosec,robot_id,frame_id,x,y,yaw,vx,vy,pose_source,source_topic,sample_age_s,time_basis
3.400000,15.300000,15,300000000,robot3,map,2.200000,-0.700000,2.833540,-0.000000,-0.000000,gazebo_ground_truth,/robot3/ground_truth_pose,0.000000,header_stamp
3.400000,15.300000,15,300000000,robot4,map,2.200000,0.700000,-2.961740,0.000000,-0.000000,gazebo_ground_truth,/robot4/ground_truth_pose,0.000000,header_stamp
3.500000,15.400000,15,400000000,robot1,map,-2.200009,-0.899977,0.288597,-0.000003,0.000005,gazebo_ground_truth,/robot1/ground_truth_pose,0.000000,header_stamp
3.500000,15.400000,15,400000000,robot2,map,-2.199945,0.299716,-0.158962,0.000003,0.000002,gazebo_ground_truth,/robot2/ground_truth_pose,0.000000,header_stamp
3.500000,15.400000,15,400000000,robot3,map,2.200000,-0.700000,2.833540,-0.000000,-0.000000,gazebo_ground_truth,/robot3/ground_truth_pose,0.000000,header_stamp
3.500000,15.400000,15,400000000,robot4,map,2.200000,0.700000,-2.961740,0.000000,-0.000000,gazebo_ground_truth,/robot4/ground_truth_pose,0.000000,header_stamp
3.600000,15.500000,15,500000000,robot1,map,-2.200010,-0.899977,0.288619,-0.000006,0.000001,gazebo_ground_truth,/robot1/ground_truth_pose,0.000000,header_stamp
3.600000,15.500000,15,500000000,robot2,map,-2.199944,0.299717,-0.158973,0.000003,0.000003,gazebo_ground_truth,/robot2/ground_truth_pose,0.000000,header_stamp
3.600000,15.500000,15,500000000,robot3,map,2.200000,-0.700000,2.833540,-0.000000,-0.000000,gazebo_ground_truth,/robot3/ground_truth_pose,0.000000,header_stamp
3.600000,15.500000,15,500000000,robot4,map,2.200000,0.700000,-2.961740,0.000000,-0.000000,gazebo_ground_truth,/robot4/ground_truth_pose,0.000000,header_stamp
3.700000,15.600000,15,600000000,robot1,map,-2.200010,-0.899977,0.288637,-0.000003,0.000005,gazebo_ground_truth,/robot1/ground_truth_pose,0.000000,header_stamp
3.700000,15.600000,15,600000000,robot2,map,-2.199944,0.299717,-0.158984,0.000000,0.000006,gazebo_ground_truth,/robot2/ground_truth_pose,0.000000,header_stamp
3.700000,15.600000,15,600000000,robot3,map,2.200000,-0.700000,2.833540,-0.000000,-0.000000,gazebo_ground_truth,/robot3/ground_truth_pose,0.000000,header_stamp
3.700000,15.600000,15,600000000,robot4,map,2.200000,0.700000,-2.961740,0.000000,-0.000000,gazebo_ground_truth,/robot4/ground_truth_pose,0.000000,header_stamp
3.800000,15.700000,15,700000000,robot1,map,-2.200010,-0.899976,0.288657,-0.000003,0.000004,gazebo_ground_truth,/robot1/ground_truth_pose,0.000000,header_stamp
3.800000,15.700000,15,700000000,robot2,map,-2.199944,0.299717,-0.158994,0.000003,0.000002,gazebo_ground_truth,/robot2/ground_truth_pose,0.000000,header_stamp
3.800000,15.700000,15,700000000,robot3,map,2.200000,-0.700000,2.833540,-0.000000,-0.000000,gazebo_ground_truth,/robot3/ground_truth_pose,0.000000,header_stamp
3.800000,15.700000,15,700000000,robot4,map,2.200000,0.700000,-2.961740,0.000000,-0.000000,gazebo_ground_truth,/robot4/ground_truth_pose,0.000000,header_stamp
3.900000,15.800000,15,800000000,robot1,map,-2.200011,-0.899976,0.288678,-0.000006,0.000001,gazebo_ground_truth,/robot1/ground_truth_pose,0.000000,header_stamp
3.900000,15.800000,15,800000000,robot2,map,-2.199944,0.299718,-0.159005,0.000003,0.000003,gazebo_ground_truth,/robot2/ground_truth_pose,0.000000,header_stamp
